Date,LIC Pension Fund Scheme Central Govt.
08-May-2017,24.0588
05-May-2017,24.0328
04-May-2017,24.0328
03-May-2017,24.0235
02-May-2017,24.0114
28-Apr-2017,24.0184
27-Apr-2017,24.0291
26-Apr-2017,24.0245
25-Apr-2017,24.0504
24-Apr-2017,23.9875
21-Apr-2017,23.9419
20-Apr-2017,23.9906
19-Apr-2017,23.9704
18-Apr-2017,23.9537
17-Apr-2017,23.971
13-Apr-2017,23.977
12-Apr-2017,23.9438
11-Apr-2017,23.9247
10-Apr-2017,23.8688
07-Apr-2017,23.8586
06-Apr-2017,23.9042
05-Apr-2017,24.0092
03-Apr-2017,23.9959
31-Mar-2017,23.9808
30-Mar-2017,23.9516
29-Mar-2017,23.9115
27-Mar-2017,23.8962
24-Mar-2017,23.8028
23-Mar-2017,23.7678
22-Mar-2017,23.7241
21-Mar-2017,23.6753
20-Mar-2017,23.6584
17-Mar-2017,23.6601
16-Mar-2017,23.662
15-Mar-2017,23.5904
14-Mar-2017,23.513
10-Mar-2017,23.4646
09-Mar-2017,23.5343
08-Mar-2017,23.5529
07-Mar-2017,23.5661
06-Mar-2017,23.5823
03-Mar-2017,23.5834
02-Mar-2017,23.5818
01-Mar-2017,23.5757
28-Feb-2017,23.6112
27-Feb-2017,23.6196
23-Feb-2017,23.5827
22-Feb-2017,23.5951
20-Feb-2017,23.6157
17-Feb-2017,23.6256
16-Feb-2017,23.6036
15-Feb-2017,23.5644
14-Feb-2017,23.5837
13-Feb-2017,23.6354
10-Feb-2017,23.6299
09-Feb-2017,23.5836
08-Feb-2017,23.7493
07-Feb-2017,24.0842
06-Feb-2017,24.0914
03-Feb-2017,24.0722
02-Feb-2017,24.0563
01-Feb-2017,24.018
31-Jan-2017,23.9703
30-Jan-2017,23.9944
27-Jan-2017,23.9933
25-Jan-2017,23.9606
24-Jan-2017,23.9056
23-Jan-2017,23.8886
20-Jan-2017,23.8631
19-Jan-2017,23.8945
18-Jan-2017,23.9066
17-Jan-2017,23.9205
16-Jan-2017,23.9105
13-Jan-2017,23.9158
12-Jan-2017,23.9136
11-Jan-2017,23.8752
10-Jan-2017,23.8589
09-Jan-2017,23.8532
06-Jan-2017,23.8684
05-Jan-2017,23.8727
04-Jan-2017,23.8524
03-Jan-2017,23.8019
02-Jan-2017,23.7994
30-Dec-2016,23.6053
29-Dec-2016,23.4733
28-Dec-2016,23.4681
27-Dec-2016,23.4204
26-Dec-2016,23.4726
23-Dec-2016,23.5435
