Date,NPS LITE-Govt.Pattern
08-May-2017,19.7812
05-May-2017,19.7573
04-May-2017,19.765
03-May-2017,19.752
02-May-2017,19.7437
28-Apr-2017,19.7536
27-Apr-2017,19.7543
26-Apr-2017,19.7552
25-Apr-2017,19.7749
24-Apr-2017,19.7324
21-Apr-2017,19.6927
20-Apr-2017,19.7264
19-Apr-2017,19.7124
18-Apr-2017,19.6945
17-Apr-2017,19.7069
13-Apr-2017,19.7111
12-Apr-2017,19.6889
11-Apr-2017,19.6785
10-Apr-2017,19.6339
07-Apr-2017,19.6236
06-Apr-2017,19.6672
05-Apr-2017,19.7488
03-Apr-2017,19.7364
31-Mar-2017,19.7232
30-Mar-2017,19.6975
29-Mar-2017,19.6691
27-Mar-2017,19.6464
24-Mar-2017,19.5746
23-Mar-2017,19.542
22-Mar-2017,19.5044
21-Mar-2017,19.4652
20-Mar-2017,19.4556
17-Mar-2017,19.4505
16-Mar-2017,19.454
15-Mar-2017,19.3909
14-Mar-2017,19.3309
10-Mar-2017,19.2893
09-Mar-2017,19.3449
08-Mar-2017,19.362
07-Mar-2017,19.3751
06-Mar-2017,19.3936
03-Mar-2017,19.395
02-Mar-2017,19.3875
01-Mar-2017,19.3865
28-Feb-2017,19.4169
27-Feb-2017,19.4202
23-Feb-2017,19.3946
22-Feb-2017,19.4074
20-Feb-2017,19.4298
17-Feb-2017,19.4339
16-Feb-2017,19.4208
15-Feb-2017,19.382
14-Feb-2017,19.3944
13-Feb-2017,19.4354
10-Feb-2017,19.4348
09-Feb-2017,19.4024
08-Feb-2017,19.5423
07-Feb-2017,19.8079
06-Feb-2017,19.8178
03-Feb-2017,19.8006
02-Feb-2017,19.7832
01-Feb-2017,19.7641
31-Jan-2017,19.715
30-Jan-2017,19.7414
27-Jan-2017,19.7365
25-Jan-2017,19.7136
24-Jan-2017,19.6687
23-Jan-2017,19.6495
20-Jan-2017,19.625
19-Jan-2017,19.6521
18-Jan-2017,19.6672
17-Jan-2017,19.6754
16-Jan-2017,19.6652
13-Jan-2017,19.6701
12-Jan-2017,19.6656
11-Jan-2017,19.6394
10-Jan-2017,19.6254
09-Jan-2017,19.6219
06-Jan-2017,19.6309
05-Jan-2017,19.6328
04-Jan-2017,19.6207
03-Jan-2017,19.5826
02-Jan-2017,19.5818
30-Dec-2016,19.4237
29-Dec-2016,19.3119
28-Dec-2016,19.308
27-Dec-2016,19.2716
26-Dec-2016,19.3136
23-Dec-2016,19.3728
22-Dec-2016,19.4106
21-Dec-2016,19.4622
20-Dec-2016,19.4547
19-Dec-2016,19.4546
16-Dec-2016,19.4598
15-Dec-2016,19.4703
14-Dec-2016,19.5676
13-Dec-2016,19.5859
09-Dec-2016,19.5961
08-Dec-2016,19.6031
07-Dec-2016,19.6322
06-Dec-2016,19.8492
05-Dec-2016,19.8478
02-Dec-2016,19.8253
01-Dec-2016,19.8725
30-Nov-2016,19.8596
29-Nov-2016,19.7739
28-Nov-2016,19.7998
25-Nov-2016,19.8702
24-Nov-2016,19.8592
23-Nov-2016,19.7599
22-Nov-2016,19.6694
21-Nov-2016,19.6358
18-Nov-2016,19.5336
17-Nov-2016,19.5473
16-Nov-2016,19.5368
15-Nov-2016,19.4196
11-Nov-2016,19.3012
10-Nov-2016,19.3764
08-Nov-2016,19.2195
07-Nov-2016,19.1946
04-Nov-2016,19.1667
03-Nov-2016,19.2079
02-Nov-2016,19.2218
01-Nov-2016,19.2566
28-Oct-2016,19.2542
27-Oct-2016,19.2463
26-Oct-2016,19.2627
25-Oct-2016,19.2714
24-Oct-2016,19.2937
21-Oct-2016,19.2629
20-Oct-2016,19.2628
19-Oct-2016,19.2611
18-Oct-2016,19.2531
17-Oct-2016,19.2059
14-Oct-2016,19.2172
13-Oct-2016,19.2547
10-Oct-2016,19.3
07-Oct-2016,19.2719
06-Oct-2016,19.2947
05-Oct-2016,19.3138
04-Oct-2016,19.2554
03-Oct-2016,19.2167
30-Sep-2016,19.1329
29-Sep-2016,19.0939
28-Sep-2016,19.1892
27-Sep-2016,19.1711
26-Sep-2016,19.1563
23-Sep-2016,19.1367
22-Sep-2016,19.1099
21-Sep-2016,19.03
20-Sep-2016,19.0213
19-Sep-2016,19.0263
16-Sep-2016,19.0151
15-Sep-2016,19.0039
14-Sep-2016,18.9972
12-Sep-2016,18.9935
09-Sep-2016,19.0568
08-Sep-2016,19.0619
07-Sep-2016,19.051
06-Sep-2016,18.9928
02-Sep-2016,18.9358
01-Sep-2016,18.9309
31-Aug-2016,18.9368
30-Aug-2016,18.9174
29-Aug-2016,18.854
26-Aug-2016,18.8348
24-Aug-2016,18.82
23-Aug-2016,18.7914
22-Aug-2016,18.7957
19-Aug-2016,18.8389
18-Aug-2016,18.8184
16-Aug-2016,18.8487
12-Aug-2016,18.8461
11-Aug-2016,18.8126
10-Aug-2016,18.7775
09-Aug-2016,18.74
08-Aug-2016,18.6736
05-Aug-2016,18.6529
04-Aug-2016,18.6009
03-Aug-2016,18.5796
02-Aug-2016,18.6234
01-Aug-2016,18.6487
29-Jul-2016,18.5903
28-Jul-2016,18.5651
27-Jul-2016,18.461
26-Jul-2016,18.443
25-Jul-2016,18.4426
22-Jul-2016,18.398
21-Jul-2016,18.3646
20-Jul-2016,18.3589
19-Jul-2016,18.3209
18-Jul-2016,18.2904
15-Jul-2016,18.2959
14-Jul-2016,18.2839
13-Jul-2016,18.2641
12-Jul-2016,18.223
11-Jul-2016,18.167
08-Jul-2016,18.1265
07-Jul-2016,18.116
05-Jul-2016,18.0946
04-Jul-2016,18.0697
01-Jul-2016,18.0499
30-Jun-2016,18.0099
29-Jun-2016,17.9276
28-Jun-2016,17.9276
27-Jun-2016,17.8978
24-Jun-2016,17.8553
23-Jun-2016,17.8765
22-Jun-2016,17.8587
21-Jun-2016,17.8464
20-Jun-2016,17.8432
17-Jun-2016,17.8126
