Date,LIC Pension Fund Scheme Corporate CG.
08-May-2017,15.8573
05-May-2017,15.8389
04-May-2017,15.8373
03-May-2017,15.8292
02-May-2017,15.8217
28-Apr-2017,15.8279
27-Apr-2017,15.831
26-Apr-2017,15.8326
25-Apr-2017,15.8553
24-Apr-2017,15.8147
21-Apr-2017,15.7866
20-Apr-2017,15.8237
19-Apr-2017,15.8168
18-Apr-2017,15.8067
17-Apr-2017,15.8156
13-Apr-2017,15.8209
12-Apr-2017,15.7974
11-Apr-2017,15.7756
10-Apr-2017,15.7324
07-Apr-2017,15.7237
06-Apr-2017,15.7588
05-Apr-2017,15.8355
03-Apr-2017,15.8215
31-Mar-2017,15.8133
30-Mar-2017,15.7954
29-Mar-2017,15.7665
27-Mar-2017,15.7618
24-Mar-2017,15.6925
23-Mar-2017,15.6672
22-Mar-2017,15.6345
21-Mar-2017,15.5881
20-Mar-2017,15.5789
17-Mar-2017,15.579
16-Mar-2017,15.5869
15-Mar-2017,15.534
14-Mar-2017,15.4739
10-Mar-2017,15.436
09-Mar-2017,15.4897
08-Mar-2017,15.5052
07-Mar-2017,15.5187
06-Mar-2017,15.532
03-Mar-2017,15.5392
02-Mar-2017,15.5299
01-Mar-2017,15.5272
28-Feb-2017,15.555
27-Feb-2017,15.5587
23-Feb-2017,15.5353
22-Feb-2017,15.541
20-Feb-2017,15.5577
17-Feb-2017,15.5767
16-Feb-2017,15.5617
15-Feb-2017,15.5438
14-Feb-2017,15.5537
13-Feb-2017,15.591
10-Feb-2017,15.5921
09-Feb-2017,15.5538
08-Feb-2017,15.6849
07-Feb-2017,15.9349
06-Feb-2017,15.9453
03-Feb-2017,15.9307
02-Feb-2017,15.9195
01-Feb-2017,15.8959
31-Jan-2017,15.8681
30-Jan-2017,15.8822
27-Jan-2017,15.8785
25-Jan-2017,15.8573
24-Jan-2017,15.8239
23-Jan-2017,15.8046
20-Jan-2017,15.7936
19-Jan-2017,15.8113
18-Jan-2017,15.8223
17-Jan-2017,15.8313
16-Jan-2017,15.8214
13-Jan-2017,15.8264
12-Jan-2017,15.8359
11-Jan-2017,15.8058
10-Jan-2017,15.7939
09-Jan-2017,15.7896
06-Jan-2017,15.7967
05-Jan-2017,15.7959
04-Jan-2017,15.789
03-Jan-2017,15.7525
02-Jan-2017,15.755
30-Dec-2016,15.612
29-Dec-2016,15.5125
28-Dec-2016,15.5093
27-Dec-2016,15.4788
26-Dec-2016,15.5216
23-Dec-2016,15.5758
22-Dec-2016,15.6105
21-Dec-2016,15.6419
20-Dec-2016,15.6545
19-Dec-2016,15.6497
16-Dec-2016,15.6537
15-Dec-2016,15.6637
14-Dec-2016,15.7609
13-Dec-2016,15.7781
09-Dec-2016,15.7855
08-Dec-2016,15.8024
07-Dec-2016,15.8372
06-Dec-2016,16.041
05-Dec-2016,16.0345
02-Dec-2016,16.0218
01-Dec-2016,16.0641
30-Nov-2016,16.0497
29-Nov-2016,15.9782
28-Nov-2016,15.9993
25-Nov-2016,16.0521
24-Nov-2016,16.0443
23-Nov-2016,15.9553
22-Nov-2016,15.8765
21-Nov-2016,15.8571
18-Nov-2016,15.7641
17-Nov-2016,15.7755
16-Nov-2016,15.7705
15-Nov-2016,15.6699
11-Nov-2016,15.5607
10-Nov-2016,15.6183
08-Nov-2016,15.4818
07-Nov-2016,15.4615
04-Nov-2016,15.4451
03-Nov-2016,15.4817
02-Nov-2016,15.4961
01-Nov-2016,15.5235
28-Oct-2016,15.5198
27-Oct-2016,15.5193
26-Oct-2016,15.535
25-Oct-2016,15.5414
24-Oct-2016,15.5598
21-Oct-2016,15.5381
20-Oct-2016,15.5343
19-Oct-2016,15.5387
18-Oct-2016,15.5271
17-Oct-2016,15.4917
