Date,LIC Pension Fund Scheme E - Tier II
08-May-2017,13.6901
05-May-2017,13.6595
04-May-2017,13.7724
03-May-2017,13.6961
02-May-2017,13.7181
28-Apr-2017,13.7294
27-Apr-2017,13.7079
26-Apr-2017,13.7296
25-Apr-2017,13.6856
24-Apr-2017,13.5709
21-Apr-2017,13.4787
20-Apr-2017,13.5019
19-Apr-2017,13.472
18-Apr-2017,13.4704
17-Apr-2017,13.5269
13-Apr-2017,13.5568
12-Apr-2017,13.6059
11-Apr-2017,13.6363
10-Apr-2017,13.5632
07-Apr-2017,13.555
06-Apr-2017,13.652
05-Apr-2017,13.6454
03-Apr-2017,13.5683
31-Mar-2017,13.4738
30-Mar-2017,13.4422
29-Mar-2017,13.4319
27-Mar-2017,13.337
24-Mar-2017,13.4081
23-Mar-2017,13.3466
22-Mar-2017,13.2839
21-Mar-2017,13.3874
20-Mar-2017,13.4217
17-Mar-2017,13.4651
16-Mar-2017,13.4897
15-Mar-2017,13.3833
14-Mar-2017,13.3248
10-Mar-2017,13.1457
09-Mar-2017,13.1593
08-Mar-2017,13.1813
07-Mar-2017,13.2289
06-Mar-2017,13.2455
03-Mar-2017,13.1616
02-Mar-2017,13.1559
01-Mar-2017,13.2342
28-Feb-2017,13.1813
27-Feb-2017,13.1997
23-Feb-2017,13.2473
22-Feb-2017,13.2507
20-Feb-2017,13.1762
17-Feb-2017,13.0979
16-Feb-2017,13.0032
15-Feb-2017,12.923
14-Feb-2017,13.0471
13-Feb-2017,13.0803
10-Feb-2017,13.1059
09-Feb-2017,13.1137
08-Feb-2017,13.1102
07-Feb-2017,13.0921
06-Feb-2017,13.1374
03-Feb-2017,13.0639
02-Feb-2017,13.0241
01-Feb-2017,12.9301
31-Jan-2017,12.7811
30-Jan-2017,12.8932
27-Jan-2017,12.894
25-Jan-2017,12.7892
24-Jan-2017,12.6385
23-Jan-2017,12.5092
20-Jan-2017,12.4877
19-Jan-2017,12.6109
18-Jan-2017,12.578
17-Jan-2017,12.5484
16-Jan-2017,12.5718
13-Jan-2017,12.5506
12-Jan-2017,12.556
11-Jan-2017,12.5107
10-Jan-2017,12.3744
09-Jan-2017,12.3193
06-Jan-2017,12.3604
05-Jan-2017,12.3588
04-Jan-2017,12.2429
03-Jan-2017,12.2422
02-Jan-2017,12.2103
30-Dec-2016,12.1993
29-Dec-2016,12.0141
28-Dec-2016,12.0111
27-Dec-2016,11.8272
26-Dec-2016,11.8523
23-Dec-2016,11.9851
22-Dec-2016,11.9942
21-Dec-2016,12.0969
20-Dec-2016,12.1186
19-Dec-2016,12.1845
16-Dec-2016,12.208
15-Dec-2016,12.2307
14-Dec-2016,12.2753
13-Dec-2016,12.3312
09-Dec-2016,12.4044
08-Dec-2016,12.3414
07-Dec-2016,12.1804
06-Dec-2016,12.2506
05-Dec-2016,12.2121
02-Dec-2016,12.1794
01-Dec-2016,12.3132
30-Nov-2016,12.3326
29-Nov-2016,12.2298
28-Nov-2016,12.2065
25-Nov-2016,12.1667
24-Nov-2016,12.0176
23-Nov-2016,12.0836
22-Nov-2016,11.9892
21-Nov-2016,11.9499
18-Nov-2016,12.1384
17-Nov-2016,12.1378
16-Nov-2016,12.1417
15-Nov-2016,12.235
11-Nov-2016,12.5013
10-Nov-2016,12.7169
08-Nov-2016,12.6835
07-Nov-2016,12.6153
04-Nov-2016,12.5508
03-Nov-2016,12.6868
02-Nov-2016,12.7797
01-Nov-2016,12.9291
28-Oct-2016,12.9192
27-Oct-2016,12.8797
26-Oct-2016,12.9196
25-Oct-2016,12.9965
24-Oct-2016,13.0226
21-Oct-2016,12.9652
20-Oct-2016,12.9555
19-Oct-2016,12.9078
18-Oct-2016,12.8682
17-Oct-2016,12.7019
14-Oct-2016,12.736
13-Oct-2016,12.7484
10-Oct-2016,12.9126
07-Oct-2016,12.906
06-Oct-2016,12.9309
05-Oct-2016,12.9865
04-Oct-2016,12.9957
03-Oct-2016,12.9005
30-Sep-2016,12.7255
29-Sep-2016,12.7131
28-Sep-2016,12.9228
27-Sep-2016,12.8888
26-Sep-2016,12.9232
23-Sep-2016,13.039
22-Sep-2016,13.0371
21-Sep-2016,12.9297
20-Sep-2016,12.9558
19-Sep-2016,12.9668
16-Sep-2016,12.9049
15-Sep-2016,12.8662
14-Sep-2016,12.8544
